date,sentiment.comparative,sentiment.negative_count,sentiment.positive_count,sentiment.score,time
"2013-07-31",0.030245746691871456,42,70,48,"02:17:25"
"2013-07-31",0.14088159031979255,17,101,163,"23:51:07"
"2013-08-01",0.03910614525139665,6,16,21,"00:18:06"
"2013-08-09",0.04531001589825119,22,48,57,"23:50:08"
"2013-08-11",0.09507042253521127,10,39,54,"14:28:46"
"2013-08-12",0.05405405405405406,6,24,30,"23:56:43"
"2013-08-13",0.04205607476635514,5,9,9,"20:29:36"
"2013-08-18",0.08456843940714909,16,65,97,"02:27:06"
"2013-08-20",0,3,3,0,"00:21:32"
"2013-08-20",0,0,0,0,"19:48:39"
"2013-08-21",0.056672760511883,19,31,31,"01:12:39"
"2013-08-22",0,0,0,0,"18:00:05"
"2013-08-26",0.04054054054054054,3,11,12,"09:17:16"
"2013-08-30",0.056,24,73,91,"17:06:36"
"2013-09-04",-0.04741379310344827,11,7,-11,"01:40:19"
"2013-09-04",0.07533234859675036,11,40,51,"16:01:25"
"2013-09-04",0.047619047619047616,0,5,8,"19:14:33"
"2013-09-04",-0.5714285714285714,1,0,-4,"19:39:48"
"2013-09-05",0,0,0,0,"13:13:47"
"2013-09-09",0.021632937892533146,29,44,31,"06:48:31"
"2013-09-09",-0.030927835051546393,12,11,-12,"08:56:12"
"2013-09-10",1,0,4,9,"09:40:21"
"2013-09-12",0.013824884792626729,11,15,6,"05:54:00"
"2013-09-18",0.022727272727272728,1,2,2,"18:08:29"
"2013-09-22",0.04143646408839779,11,21,15,"17:44:10"
"2013-09-23",0,1,2,0,"04:36:33"
"2013-09-27",0.08717105263157894,10,42,53,"11:43:51"
"2013-09-27",0.0384807596201899,39,75,77,"16:28:21"
"2013-09-28",-0.05555555555555555,1,0,-1,"18:54:46"
"2013-09-29",0.03647798742138365,40,82,58,"19:48:59"
"2013-09-30",0.011937557392102846,26,31,13,"17:21:51"
"2013-10-02",-0.008254230293025175,79,67,-20,"11:52:12"
"2013-10-02",0.030982905982905984,34,61,58,"19:15:51"
"2013-10-06",0,0,0,0,"16:15:48"
"2013-10-12",0.038560411311053984,26,37,30,"21:09:02"
"2013-10-14",0.047619047619047616,7,16,17,"06:17:56"
"2013-10-17",0.08558558558558559,6,13,19,"08:56:17"
"2013-10-17",0,0,0,0,"09:12:36"
"2013-10-18",0.0711645101663586,12,48,77,"09:13:32"
"2013-10-19",0,0,0,0,"17:45:40"
"2013-10-20",0,0,0,0,"10:11:04"
"2013-10-20",0.11784511784511785,5,21,35,"14:54:29"
"2013-10-20",0,0,0,0,"15:31:42"
"2013-10-20",0.08108108108108109,0,2,3,"16:28:49"
"2013-10-20",0.023391812865497075,2,5,8,"18:38:00"
"2013-10-21",0.09615384615384616,3,7,10,"12:42:14"
"2013-10-22",0.13008130081300814,4,13,16,"09:29:18"
"2013-10-22",0.11627906976744186,1,7,10,"11:14:02"
"2013-10-22",0.05289256198347107,16,31,32,"11:19:07"
"2013-10-22",0.05063291139240506,0,1,4,"11:37:04"
"2013-10-22",0.09090909090909091,0,2,2,"15:24:57"
"2013-10-23",0,0,0,0,"06:32:14"
"2013-10-24",-0.017578125,17,14,-9,"09:52:54"
"2013-10-24",0.06871609403254973,10,28,38,"10:30:39"
"2013-10-26",0,0,0,0,"11:29:22"
"2013-10-26",0.08533653846153846,21,57,71,"11:30:04"
"2013-10-26",-0.027777777777777776,1,0,-1,"12:28:09"
"2013-10-26",0.013071895424836602,1,2,2,"19:36:04"
"2013-10-27",0,0,0,0,"05:46:06"
"2013-10-31",-0.002886002886002886,31,32,-2,"18:16:29"
"2013-11-01",0.06642066420664207,5,24,36,"13:24:57"
"2013-11-02",0,0,0,0,"15:57:22"
"2013-11-03",0,0,0,0,"12:17:24"
"2013-11-07",0.06350053361792957,26,86,119,"05:58:03"
"2013-11-07",-0.027777777777777776,1,1,-1,"10:21:52"
"2013-11-07",0.08560311284046693,9,14,22,"11:31:02"
"2013-11-07",0,0,0,0,"11:55:01"
"2013-11-08",0.07362534948741846,17,53,79,"07:39:57"
"2013-11-08",0.16666666666666666,0,1,2,"10:43:48"
"2013-11-08",0.044676530316217,59,130,154,"11:04:37"
"2013-11-09",0.18181818181818182,1,3,4,"12:52:07"
"2013-11-09",0,0,0,0,"15:06:47"
"2013-11-12",0,0,0,0,"06:16:00"
"2013-11-14",0,0,0,0,"03:44:44"
"2013-11-14",-0.3,4,0,-12,"10:27:31"
"2013-11-16",0.043824701195219126,16,24,22,"05:39:00"
"2013-11-21",0,0,0,0,"14:03:15"
"2013-11-21",0.049099836333878884,11,35,30,"19:32:13"
"2013-11-22",-0.008875739644970414,46,40,-12,"09:42:42"
"2013-11-22",-0.013232514177693762,21,21,-7,"15:29:13"
"2013-11-24",-0.05454545454545454,2,1,-3,"05:09:32"
"2013-12-02",-0.07766990291262135,5,1,-8,"15:35:23"
"2013-12-03",-0.027555555555555555,37,24,-31,"16:34:41"
"2013-12-05",0,0,0,0,"17:17:01"
"2013-12-08",0.05405405405405406,0,1,2,"15:32:03"
"2013-12-09",0.010243277848911651,27,27,8,"16:43:06"
"2013-12-09",0.0399002493765586,9,19,16,"18:16:15"
"2013-12-10",0.0498793242156074,28,83,62,"09:57:10"
"2013-12-10",-0.15789473684210525,1,0,-3,"14:59:22"
"2013-12-14",0.041353383458646614,7,13,11,"20:38:58"
"2013-12-15",0.026303428839830906,74,113,56,"17:52:02"
"2013-12-17",0,0,0,0,"16:58:11"
"2013-12-18",0.11042944785276074,6,12,18,"01:48:10"
"2013-12-19",0.0196078431372549,0,1,1,"22:16:58"
"2013-12-21",0.3333333333333333,0,1,3,"14:58:28"
"2013-12-23",-0.13163064833005894,47,16,-67,"12:15:01"
"2013-12-23",0.014675052410901468,10,16,7,"16:11:20"
"2013-12-24",0.04092071611253197,11,24,16,"21:33:17"
"2013-12-30",0.5,0,1,2,"23:47:41"
"2013-12-31",0.07104736490993996,97,343,426,"00:46:07"
"2013-12-31",0.049479166666666664,11,25,19,"06:19:05"
"2014-01-01",0.05785123966942149,1,5,7,"17:44:39"
"2014-01-02",0.019886363636363636,23,29,14,"14:15:41"
"2014-01-02",0,0,0,0,"18:30:04"
"2014-01-03",-0.058823529411764705,1,2,-1,"16:05:31"
"2014-01-03",0.2962962962962963,3,10,16,"17:15:43"
"2014-01-03",0,0,0,0,"20:54:05"
"2014-01-04",0.25,0,1,2,"13:14:35"
"2014-01-05",0,0,0,0,"22:46:11"
"2014-01-07",0.02564102564102564,0,1,1,"14:23:36"
"2014-01-07",0.05489260143198091,14,38,46,"23:53:13"
"2014-01-08",0.028353787558188744,39,83,67,"01:25:57"
"2014-01-08",-0.019801980198019802,2,0,-2,"14:13:16"
"2014-01-08",0.0710128055878929,26,77,122,"23:54:04"
"2014-01-09",0.14814814814814814,0,2,4,"13:34:47"
"2014-01-10",0.09641873278236915,17,71,105,"00:30:46"
"2014-01-10",0.11567164179104478,1,14,31,"15:15:20"
"2014-01-20",0.061946902654867256,17,46,56,"02:25:14"
